Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
114710126648118,Republican Dogs,Republican Dogs,76327,370
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",74938,128
149506275069183,Florida State Hispanic Chamber Of Commerce,Florida State Hispanic Chamber of Commerce,74517,31
100758682697459,Mayday Health,"Mayday Medicines, Inc.",74293,156
355909694995161,Workers for Opportunity,Center for Worker Progress Action,74218,113
7263476274,Mercy Corps,Mercy Corps,74209,556
154561574598964,White Coat Waste Project,THE WHITE COAT WASTE PROJECT INC,74192,793
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,74127,7
107764430968176,Tuttle Twins TV Show,"Tuttle Twins Show, LLC",74092,65
102673905910071,Texas Climate Jobs Action,Texas Climate Jobs Action,73121,34
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),72576,453
112729281557830,Affordable Health Options,"ZAN Media, Inc.",71834,1726
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,71433,427
69983322463,Ted Cruz,TED CRUZ FOR SENATE,71062,66
50576707351,Republican State Leadership Committee,Republican State Leadership Committee,70739,316
113701011664576,Unified Texas,Texas AFL-CIO,70636,78
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,70595,170
103648802451237,Fair Courts America,Fair Courts America,70235,428
105454117977117,Voices for Consumer Choice,Voices for Consumer Choice,70172,80
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,69542,33
100466376050855,Real America Home,Real America Home,69371,60
19746387261,Humane Society International,Humane Society International,69318,206
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,68948,69
104251865766048,Texas Employers for Affordable Healthcare,Texas Employers for Affordable Healthcare,68657,63
24470472733,The Trevor Project,The Trevor Project,68511,174
203805062990264,Ben Shapiro,Daily Wire,68390,67
111824001908,Hakeem Jeffries,JEFFRIES FOR CONGRESS,68190,152
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",67733,455
110214011784161,Global America Center,Global America Center,67653,33
108715768240523,Citizens Bulletin,House Majority Forward,67529,36
140471979488965,Paul Bettencourt,Friends of Paul Bettencourt,67351,149
780941275347834,Ilhan Omar,ILHAN FOR CONGRESS,67229,316
46093654473,National Republican Congressional Committee,NRCC,67140,134
112062103882377,Florida Consumer Alliance,Florida Consumer Alliance,66976,74
58433611572,Seventh Generation,SEVENTH GENERATION INC,66965,11
689547608156721,The Burial Solution,The Burial Solution,66827,133
103695769458,United States Mint,United States Mint,66474,58
227594571444676,Building New York's Best,Carpenter Contractor Alliance of Metropolitan New York,66285,214
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,66199,315
43005439032,American Diabetes Association,American Diabetes Association,66085,90
92021268117,Working America,Working America,65896,71
244929708853349,Spotify,Spotify USA Inc.,65785,4
219242560293,Meals on Wheels America,Meals On Wheels America,65782,84
111217358472855,Minnesota's Health Care Future,"Partnership for America’s Health Care Future Action, Inc.",65458,72
18780321251,American Chemistry,American Chemistry Council,65167,89
1470540296409810,Fair Fight Action,FAIR FIGHT,64651,288
112600915451330,No Labels,No Labels,63989,97
542678889114683,The Coca-Cola Company,The Coca-Cola Company,63886,78
169597416843751,Stand Up America,Stand Up America,63710,44
23790541544,Democrats,DCCC,63402,232
681626158940626,Mission Roll Call,Americas Warrior Partnership,62722,180
8321461609,MomsRising.org,MomsRising Together,62369,329
68680511262,NFL,NFL PROPERTIES LLC,62323,46
267180743723148,National Geographic Society,National Geographic Society,62233,189
240937060405,Center for Science in the Public Interest (CSPI),Center for Science in the Public Interest,61865,216
6236054211,Brady: United Against Gun Violence,Brady Campaign to Prevent Gun Violence,61805,10
178602115837123,David Trone,DAVID TRONE FOR MARYLAND,61421,32
1632814840319802,John Fetterman,Fetterman for PA,60838,372
104977525752112,Freedom of Patriots,Freedom of Patriots,60450,167
52563647525,Kyrsten Sinema,SINEMA FOR ARIZONA,60337,144
11465191261,JPMorgan Chase & Co.,"JPMORGAN CHASE BANK, NA",60069,15
106583555450073,Bidencare Health Plans,Obamacareplans,60049,585
53674651369,SBA Pro-Life America,"SUSAN B. ANTHONY LIST, INC.",59832,77
181384525312561,EmpowerLA,City of Los Angeles Department of Neighborhood Empowerment,59763,16
83290028957,Care Net,CARE NET,59736,613
142432192446984,David Horowitz Freedom Center,David Horowitz Freedom Center,58984,24
181293946098833,Philly for Growth,Philly for Growth,58750,77
108203188195224,Seniors Across America,Seniors Across America,58113,23
109292105296240,Affordable Fuel Washington,AFFORDABLE FUEL WASHINGTON,57948,18
108668858578908,Médico Cubierto,JADE Computer Services LLC,57834,21
255062275778,Tim Tebow Foundation,TIM TEBOW FOUNDATION,57512,9
100346689495660,Pete's Pranks,Petes Pranks,57451,9
152789358067261,Wells Fargo,These ads ran without a disclaimer,57377,2
106563958759988,Semafor,Semafor Inc.,57197,1545
47710973068,Voices for Cooperative Power,Voices for Cooperative Power,57108,127
830289696991749,THE FACTS NOW,Florida Department of Health Bureau of Tobacco Free Florida,56982,28
107739345577730,Protect Michigan Families,Protect Michigan Families,56795,77
100684991996307,November Coalition,NOVEMBER COALITION,56601,41
143329509024,Citizens Against Lawsuit Abuse,Citizens Against Lawsuit Abuse,56499,146
167555906615100,The Voice,"NBCUniversal, LLC",56340,3
113011138085478,USA Funeral Benefits & Services,Final Expense Authority LLC,55903,531
100908696264873,Better Buildings New York,Better Buildings New York,55267,78
353237777925,Pennsylvania House Dems,Pennsylvania House Democratic Campaign Committee,55245,114
151485624911761,NYC Mayor's Office,City of New York,55021,25
100168566232753,IRS Helper,Leads Team LLC,54918,117
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",54879,109
130449343291731,Ryan Binkley,BINKLEY FOR PRESIDENT 2024,54838,122
1600352356914768,PushBlack,PushBlack,54728,160
108268161352786,Stanley M. Herzog Foundation,Herzog Foundation,54458,74
6502038524,First Book,FIRST BOOK,54282,226
473191156175163,EDF Action,Environmental Defense Action Fund,54274,81
111426644905080,Maine Energy Progress,Maine Energy Progress,53108,43
115415064388243,Brett Cooper,The Daily Wire,52936,22
252814820267,HIAS,HIAS,52906,88
875653915822271,Dream.Org,Dream.Org,52552,23
101861301612822,Life Goes On,Illinois Secretary of State,52500,10
219612384781411,Bloomberg Philanthropies,Bloomberg Philanthropies,52460,246
673667436317733,Texas Consumer Association,Texas Consumer Association,52296,51
546066468753446,Black Health Matters,BLACK HEALTH MATTERS FOUNDATION INC,52025,158
110267835279432,Senior Savings,The Daily Savings Journal,51992,333
146716918692692,AFP-Wisconsin,AMERICANS FOR PROSPERITY,51688,66
52037285416,Americans for Prosperity - Texas,AMERICANS FOR PROSPERITY,51659,216
110847698099863,Solarquote.org,These ads ran without a disclaimer,51621,38
